data,localidade,y_true,y_pred,y_proba,modelo,threshold,cutoff_date,train_end_date,test_start_date
2015-03-13,Mildura,0,0,0.0011680484749376774,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-13,Nuriootpa,0,0,0.003771731397137046,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-13,Perth,1,1,0.5117080211639404,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-13,Sydney,1,1,0.8700552582740784,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-13,Woomera,0,0,0.001047049299813807,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-14,AliceSprings,0,0,0.005826306063681841,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-14,Brisbane,0,0,0.13413290679454803,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-14,Cairns,1,1,0.9948481321334839,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-14,Darwin,0,1,0.6644629240036011,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-14,Hobart,1,1,0.7436022758483887,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-14,Melbourne,1,0,0.2874450385570526,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-14,Mildura,0,0,0.012718145735561848,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-14,MountGambier,0,1,0.5029694437980652,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-14,Perth,1,1,0.8787139654159546,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-14,Perth,1,1,0.9847803115844727,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-14,Sydney,0,0,0.15754662454128265,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-14,Sydney,0,0,0.20788030326366425,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-14,Townsville,0,0,0.49163126945495605,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-14,WaggaWagga,0,0,0.1038663238286972,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-15,Brisbane,0,0,0.09889910370111465,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-15,Cairns,0,1,0.5933563709259033,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-15,Darwin,1,1,0.8201867938041687,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-15,Hobart,0,0,0.1545988917350769,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-15,Melbourne,0,0,0.09431615471839905,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-15,Mildura,0,0,0.0019124062964692712,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-15,MountGambier,0,0,0.10272754728794098,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-15,Perth,1,0,0.2679842412471771,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-15,Perth,0,0,0.2779122591018677,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-15,Portland,0,0,0.17231760919094086,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
2015-03-15,Sydney,1,0,0.45575395226478577,xgb_refatorado_v1,0.5,2015-03-13,2015-03-13,2015-03-13
